LGA,Year,Income
MOORA,2015,49932
MORAWA,2015,43076
MOSMAN PARK,2015,61858
MOUNT MAGNET,2015,41316
MOUNT MARSHALL,2015,53321
MUKINBUDIN,2015,48304
MUNDARING,2015,51769
MURCHISON,2015,76402
MURRAY,2015,47546
NANNUP,2015,34650
NAREMBEEN,2015,45701
NARROGIN,2015,47728
NEDLANDS,2015,68221
NGAANYATJARRAKU,2015,19036
NORTHAM,2015,50387
NORTHAMPTON,2015,37613
NUNGARIN,2015,45760
PEPPERMINT GROVE,2015,89795
PERENJORI,2015,40512
PERTH,2015,52506
PINGELLY,2015,39987
PLANTAGENET,2015,38015
PORT HEDLAND,2015,82349
QUAIRADING,2015,53271
RAVENSTHORPE,2015,49920
ROCKINGHAM,2015,54561
SANDSTONE,2015,33964
SERPENTINE-JARRAHDALE,2015,55267
SHARK BAY,2015,42091
SOUTH PERTH,2015,58242
STIRLING,2015,53876
SUBIACO,2015,64998
SWAN,2015,52874
TAMMIN,2015,43024
THREE SPRINGS,2015,39463
TOODYAY,2015,44332
TRAYNING,2015,47621
UPPER GASCOYNE,2015,59342
VICTORIA PARK,2015,52328
VICTORIA PLAINS,2015,40004
VINCENT,2015,59590
WAGIN,2015,43038
WANDERING,2015,54923
WANNEROO,2015,51673
WAROONA,2015,49840
WEST ARTHUR,2015,37760
WESTONIA,2015,58280
WICKEPIN,2015,42822
WILLIAMS,2015,46690
WILUNA,2015,40086
WONGAN-BALLIDU,2015,48650
WOODANILLING,2015,48265
WYALKATCHEM,2015,46702
WYNDHAM-EAST KIMBERLEY,2015,54661
YALGOO,2015,39530
YILGARN,2015,55840
YORK,2015,31452
ALBANY,2016,43270
ARMADALE,2016,51807
ASHBURTON,2016,99988
AUGUSTA-MARGARET RIVER,2016,38241
BASSENDEAN,2016,54188
BAYSWATER,2016,50959
BELMONT,2016,50479
BEVERLEY,2016,44436
BODDINGTON,2016,66199
BOYUP BROOK,2016,44506
BRIDGETOWN-GREENBUSHES,2016,40448
BROOKTON,2016,43123
BROOME,2016,54247
BROOMEHILL-TAMBELLUP,2016,49292
BRUCE ROCK,2016,54306
BUNBURY,2016,47059
BUSSELTON,2016,42029
CAMBRIDGE,2016,67315
CANNING,2016,44799
CAPEL,2016,52242
CARNAMAH,2016,54462
CARNARVON,2016,45460
CHAPMAN VALLEY,2016,55382
CHITTERING,2016,48393
CLAREMONT,2016,62245
COCKBURN,2016,54166
COLLIE,2016,47066
COOLGARDIE,2016,63474
COOROW,2016,45663
CORRIGIN,2016,43244
COTTESLOE,2016,73123
CRANBROOK,2016,39791
CUBALLING,2016,42451
CUE,2016,39320
CUNDERDIN,2016,51992
DALWALLINU,2016,58829
DANDARAGAN,2016,41543
DARDANUP,2016,50060
DENMARK,2016,33414
DERBY-WEST KIMBERLEY,2016,46847
DONNYBROOK-BALINGUP,2016,37306
DOWERIN,2016,40548
DUMBLEYUNG,2016,45294
DUNDAS,2016,48584
EAST FREMANTLE,2016,59570
EAST PILBARA,2016,76076
ESPERANCE,2016,46776
EXMOUTH,2016,49494
FREMANTLE,2016,53562
GINGIN,2016,37579
GNOWANGERUP,2016,53829
GOOMALLING,2016,46390
GOSNELLS,2016,48076
GREATER GERALDTON,2016,50406
HALLS CREEK,2016,38267
HARVEY,2016,50021
IRWIN,2016,43659
JERRAMUNGUP,2016,48058
JOONDALUP,2016,52796
KALAMUNDA,2016,52142
KALGOORLIE/BOULDER,2016,66410
KARRATHA,2016,78517
KATANNING,2016,44811
KELLERBERRIN,2016,46386
KENT,2016,52515
KOJONUP,2016,44851
KONDININ,2016,45400
KOORDA,2016,54142
KULIN,2016,49872
KWINANA,2016,53144
LAKE GRACE,2016,50222
LAVERTON,2016,47844
LEONORA,2016,67535
MANDURAH,2016,46411
MANJIMUP,2016,39250
MEEKATHARRA,2016,50201
MELVILLE,2016,52607
MENZIES,2016,42360
MERREDIN,2016,51887
MINGENEW,2016,56573
MOORA,2016,53263
MORAWA,2016,56101
MOSMAN PARK,2016,60766
MOUNT MAGNET,2016,46078
MOUNT MARSHALL,2016,67028
MUKINBUDIN,2016,53639
MUNDARING,2016,51246
MURCHISON,2016,78180
MURRAY,2016,47135
NANNUP,2016,33577
NAREMBEEN,2016,42396
NARROGIN,2016,48673
NEDLANDS,2016,68874
NGAANYATJARRAKU,2016,20005
NORTHAM,2016,50106
NORTHAMPTON,2016,39801
NUNGARIN,2016,44931
PEPPERMINT GROVE,2016,85705
PERENJORI,2016,49923
PERTH,2016,49496
