LGA,Year,Income
NGAANYATJARRAKU,2013-14,21903
NORTHAM,2013-14,49758
NORTHAMPTON,2013-14,37295
NUNGARIN,2013-14,39783
PEPPERMINT GROVE,2013-14,84800
PERENJORI,2013-14,37604
PERTH,2013-14,55655
PINGELLY,2013-14,44573
PLANTAGENET,2013-14,35116
PORT HEDLAND,2013-14,84001
QUAIRADING,2013-14,52005
RAVENSTHORPE,2013-14,52811
ROCKINGHAM,2013-14,55135
SANDSTONE,2013-14,52253
SERPENTINE-JARRAHDALE,2013-14,54959
SHARK BAY,2013-14,42485
SOUTH PERTH,2013-14,57670
STIRLING,2013-14,53494
SUBIACO,2013-14,65956
SWAN,2013-14,52303
TAMMIN,2013-14,47502
THREE SPRINGS,2013-14,47746
TOODYAY,2013-14,45652
TRAYNING,2013-14,49458
UPPER GASCOYNE,2013-14,50378
VICTORIA PARK,2013-14,53305
VICTORIA PLAINS,2013-14,45530
VINCENT,2013-14,58557
WAGIN,2013-14,45584
WANDERING,2013-14,62455
WANNEROO,2013-14,51075
WAROONA,2013-14,49385
WEST ARTHUR,2013-14,38796
WESTONIA,2013-14,44043
WICKEPIN,2013-14,51027
WILLIAMS,2013-14,46445
WILUNA,2013-14,46769
WONGAN-BALLIDU,2013-14,49213
WOODANILLING,2013-14,47932
WYALKATCHEM,2013-14,54019
WYNDHAM-EAST KIMBERLEY,2013-14,55736
YALGOO,2013-14,50193
YILGARN,2013-14,53569
YORK,2013-14,40184
ALBANY,2014-15,42537
ARMADALE,2014-15,52831
ASHBURTON,2014-15,105009
AUGUSTA-MARGARET RIVER,2014-15,38388
BASSENDEAN,2014-15,54984
BAYSWATER,2014-15,52068
BELMONT,2014-15,52111
BEVERLEY,2014-15,43799
BODDINGTON,2014-15,68409
BOYUP BROOK,2014-15,39706
BRIDGETOWN-GREENBUSHES,2014-15,39952
BROOKTON,2014-15,47253
BROOME,2014-15,55085
BROOMEHILL-TAMBELLUP,2014-15,47735
BRUCE ROCK,2014-15,64282
BUNBURY,2014-15,48470
BUSSELTON,2014-15,42931
CAMBRIDGE,2014-15,68393
CANNING,2014-15,47616
CAPEL,2014-15,52994
CARNAMAH,2014-15,50384
CARNARVON,2014-15,44155
CHAPMAN VALLEY,2014-15,54065
CHITTERING,2014-15,48330
CLAREMONT,2014-15,62661
COCKBURN,2014-15,55711
COLLIE,2014-15,52290
COOLGARDIE,2014-15,70346
COOROW,2014-15,40847
CORRIGIN,2014-15,54204
COTTESLOE,2014-15,74887
CRANBROOK,2014-15,37470
CUBALLING,2014-15,51727
CUE,2014-15,33262
CUNDERDIN,2014-15,53510
DALWALLINU,2014-15,48989
DANDARAGAN,2014-15,43545
DARDANUP,2014-15,51547
DENMARK,2014-15,33988
DERBY-WEST KIMBERLEY,2014-15,47037
